Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.101,0.118,0.098,0.099,0.093,0.092,0.096,0.105,0.097,0.102,6930
Client   1,0.102,0.119,0.102,0.106,0.098,0.092,0.094,0.101,0.094,0.092,6930
Client   2,0.105,0.105,0.099,0.100,0.102,0.089,0.098,0.105,0.098,0.100,6930
Client   3,0.096,0.112,0.099,0.098,0.100,0.091,0.102,0.106,0.095,0.101,6930
Client   4,0.091,0.114,0.102,0.105,0.100,0.086,0.095,0.109,0.095,0.103,6930
Client   5,0.100,0.109,0.095,0.106,0.094,0.088,0.099,0.104,0.102,0.102,6930
Client   6,0.102,0.110,0.102,0.097,0.098,0.084,0.098,0.105,0.104,0.101,6930
Client   7,0.101,0.117,0.104,0.101,0.092,0.090,0.102,0.104,0.095,0.092,6930
Client   8,0.094,0.109,0.097,0.105,0.100,0.100,0.097,0.102,0.100,0.098,6930
Client   9,0.096,0.114,0.102,0.103,0.099,0.089,0.101,0.100,0.095,0.102,6930
