Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.249,0.00,0.504,0.00,0.00,0.00,0.00,0.00,0.246,0.00,6859
Client   1,0.256,0.390,0.00,0.354,0.00,0.00,0.00,0.00,0.00,0.00,6666
Client   2,0.00,0.00,0.405,0.00,0.00,0.00,0.398,0.00,0.197,0.00,8553
Client   3,0.00,0.399,0.00,0.362,0.00,0.240,0.00,0.00,0.00,0.00,6519
Client   4,0.00,0.00,0.00,0.00,0.409,0.284,0.00,0.00,0.307,0.00,5504
Client   5,0.00,0.00,0.00,0.00,0.362,0.251,0.00,0.387,0.00,0.00,6221
Client   6,0.256,0.00,0.00,0.00,0.00,0.234,0.510,0.00,0.00,0.00,6673
Client   7,0.00,0.00,0.00,0.336,0.321,0.00,0.00,0.343,0.00,0.00,7015
Client   8,0.00,0.336,0.00,0.00,0.00,0.00,0.00,0.00,0.218,0.445,7732
Client   9,0.226,0.00,0.00,0.00,0.00,0.00,0.00,0.318,0.00,0.456,7558
