Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.063,0.001,0.010,0.073,0.134,0.108,0.610,0.00,0.00,0.00,6960
Client   1,0.061,0.174,0.000,0.006,0.060,0.698,0.00,0.00,0.00,0.00,7265
Client   2,0.005,0.004,0.003,0.080,0.001,0.068,0.165,0.138,0.00,0.535,5839
Client   3,0.206,0.002,0.00,0.000,0.527,0.00,0.009,0.072,0.023,0.162,4072
Client   4,0.091,0.208,0.060,0.000,0.385,0.001,0.039,0.006,0.138,0.071,5765
Client   5,0.001,0.246,0.305,0.116,0.001,0.001,0.047,0.009,0.016,0.260,7739
Client   6,0.007,0.108,0.251,0.397,0.097,0.00,0.004,0.024,0.00,0.112,6119
Client   7,0.00,0.041,0.002,0.001,0.055,0.001,0.123,0.776,0.00,0.00,7563
Client   8,0.261,0.016,0.00,0.177,0.000,0.000,0.002,0.000,0.544,0.00,10555
Client   9,0.236,0.302,0.347,0.115,0.00,0.00,0.00,0.00,0.000,0.00,7423
