Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.086,0.112,0.112,0.091,0.096,0.112,0.117,0.079,0.091,0.104,394
Client   1,0.090,0.077,0.103,0.090,0.128,0.090,0.103,0.077,0.103,0.141,78
Client   2,0.238,0.095,0.048,0.238,0.00,0.095,0.048,0.00,0.00,0.238,21
Client   3,0.117,0.078,0.117,0.117,0.143,0.091,0.078,0.078,0.065,0.117,77
Client   4,0.099,0.113,0.101,0.103,0.095,0.092,0.099,0.100,0.100,0.097,17256
Client   5,0.110,0.111,0.092,0.103,0.100,0.086,0.095,0.102,0.098,0.103,3267
Client   6,0.060,0.121,0.067,0.101,0.060,0.114,0.121,0.148,0.154,0.054,149
Client   7,0.081,0.114,0.117,0.091,0.121,0.088,0.094,0.114,0.083,0.097,639
Client   8,0.111,0.115,0.091,0.093,0.094,0.088,0.106,0.105,0.095,0.102,1722
Client   9,0.097,0.113,0.100,0.102,0.098,0.090,0.098,0.106,0.097,0.100,45693
