,epoch,client_0_loss,client_0_acc,client_1_loss,client_1_acc,client_2_loss,client_2_acc,client_3_loss,client_3_acc,client_4_loss,client_4_acc,client_5_loss,client_5_acc,client_6_loss,client_6_acc,client_7_loss,client_7_acc,client_8_loss,client_8_acc,client_9_loss,client_9_acc,meta_loss,meta_acc
0,0,3.102243169795635,0.010901162790697675,2.3448105443737464,0.022267964071856286,3.32504328166213,0.0,2.114314014194933,0.20421037007718187,2.2524224243302275,0.24548293287566741,2.340332185610747,0.1985176282051282,2.2822806977940178,0.23553374021188392,2.7773707576773385,0.0,2.359821999195925,0.009664948453608248,,,2.534998893737793,0.09471428714692592
1,1,2.9655802554862443,0.024370155038759687,2.1986699325595787,0.05501497005988024,,,,,2.184162889701733,0.24774742562929059,2.2422909881824102,0.20873397435897437,2.176205055442399,0.2597161446338093,2.6461909223686564,0.0003551136363636364,2.245128685666114,0.0194909793814433,2.3928743329628435,0.02282848324514991,2.381049871444702,0.10957143028931958
2,2,,,2.065816450261784,0.14809131736526945,3.059005631464664,0.00014602803738317756,,,2.126049886579099,0.2481288138825324,,,,,,,2.138131390527352,0.06806629438717067,,,2.2442550659179688,0.13857143104076386
3,3,,,,,2.948929736547381,0.00014602803738317756,,,,,,,,,2.4239544462073934,0.006747159090909091,,,2.2029687172521357,0.0722773368606702,2.1190545558929443,0.20200000498976026
4,4,2.6526083571966304,0.07472141472868217,1.8486829360802017,0.4395583832335329,2.85390792828854,0.0005841121495327102,1.7921838731122164,0.5336619335048486,2.0380727881970615,0.2576396834477498,2.0191297974341955,0.23577724358974358,1.9388017361749432,0.34190753109166283,,,1.9621607016042335,0.2670926403207331,2.1297684617774197,0.09907407407407408,2.018505811691284,0.24971429313932147
5,5,2.5761430720950282,0.0970687984496124,1.7629566620923802,0.5074101796407186,,,1.7304399759491529,0.5653015535325548,2.0054056722184885,0.26330091533180777,1.9652411754314716,0.2514022435897436,1.8815776837800078,0.376986411791801,2.2569912035356867,0.024680397727272728,1.8935691941644728,0.309940578465063,2.0713570956830627,0.1240410052910053,1.9257398843765259,0.2818571516126394
6,6,,,,,,,1.673611874960683,0.5821789036216108,,,1.9161564050576625,0.2748397435897436,,,,,,,,,1.8534599542617798,0.3085714374163321
7,7,2.445668593395588,0.13737887596899226,1.615969076841891,0.5738772455089821,2.626354621949597,0.013288551401869159,1.6193598603909731,0.5946405600633287,1.9486723412638125,0.2892710717009916,1.8680264376677,0.3088942307692308,,,2.1201387399976905,0.08268229166666667,,,,,1.7757083177566528,0.3484285797285182
8,8,2.3829219937324524,0.1548207364341085,1.5532562654175444,0.5912050898203594,,,1.5720233624698194,0.6046160696615871,1.9203761496405671,0.3024051296720061,1.8247879499044173,0.35176282051282054,1.7410350716756489,0.47161446338093044,2.059232561425729,0.12914299242424243,1.7311299959408868,0.38670532646048106,1.9263300914613029,0.22447089947089946,1.7033792734146118,0.4052857210700001
9,9,2.3245661750782367,0.17156007751937985,1.4970493723532396,0.6085329341317365,2.4945548505426567,0.04161799065420561,1.5296845604305618,0.61171581238868,1.8936244957688926,0.3181850686498856,1.7841467192539802,0.39463141025641024,1.6991933684149187,0.5017417088899125,,,1.6860416642169362,0.41698883161512024,,,1.6398738622665405,0.4608571499373232
10,10,2.2691749951174094,0.189546996124031,,,,,1.4917851854687088,0.6266759845636255,1.8661600092182988,0.3434758771929825,1.7458716447536762,0.4465144230769231,1.6600579737189287,0.5372956011054814,1.9500266415151684,0.2295809659090909,,,1.842235175390092,0.29757495590828925,1.5818814039230347,0.5195714354621512
11,11,2.21798890136009,0.20826065891472867,1.4061107963858963,0.6433383233532934,2.375594514552678,0.08622393961179008,,,,,,,,,,,1.607363365360142,0.48054481672394045,1.8026529001811193,0.3369268077601411,1.5222831964492798,0.5861428635673863
12,12,2.167256796082785,0.22225048449612403,1.368361464517559,0.6593562874251497,2.320017340027283,0.11108240474478794,1.4308042284901157,0.656386057787453,,,1.672108721274596,0.5414663461538461,1.5903927908686106,0.5950598802395209,1.8530178036202083,0.32913115530303033,1.5701512602186694,0.5085731672394044,1.7639590899149578,0.372145061728395,1.4595556259155273,0.6391428619623184
13,13,,,,,,,,,,,,,,,,,1.5376886657832824,0.5390177548682703,,,1.4221996068954468,0.6828571459225246
14,14,,,1.307291566968678,0.6894086826347305,2.2208827767416697,0.1697407440690151,,,1.7586273956989897,0.4613963577421816,1.6022649437953265,0.6254006410256411,1.5323335574772543,0.6409488714877936,1.7666523625904864,0.4150686553030303,1.4999662600841719,0.5768721363115693,,,1.3636492490768433,0.7330000002895083
15,15,,,1.2816235148264263,0.7011976047904191,,,,,1.7293401213659756,0.4918954996186118,,,1.503951125516149,0.6632168355596499,,,1.4724076814258222,0.6016788373424972,,,1.3239089250564575,0.7645714276177542
16,16,,,,,2.1272785864143726,0.2302637491013659,,,1.700376810371012,0.5179371662852784,1.5301450689633687,0.6943108974358975,1.4761481020978824,0.6847794795025334,,,1.4454562836086626,0.6259306987399771,,,1.2709274291992188,0.8035714246971266
17,17,1.9575887225395026,0.31750242248062016,1.2363724208877471,0.7239520958083833,2.080743243204099,0.26282800143781454,1.324079706624973,0.7208032357015633,1.6702514256256213,0.5437523836765827,1.4941731912967486,0.7211538461538461,1.4488842151836008,0.7051617918010133,1.6452757567167282,0.5210108901515151,1.420265194067021,0.6484822451317297,1.6058737809065158,0.5224977954144621,1.2246043682098389,0.8259999955551965
18,18,,,,,2.0372881633098996,0.2933478612508986,1.3062567827891718,0.731545616465466,,,1.4593010269678557,0.7393830128205128,,,,,,,1.5785528206951405,0.538370811287478,1.1830627918243408,0.8454285654851369
19,19,1.8783102534538092,0.3658309108527132,1.1919483817266132,0.7475299401197605,,,1.288945056178087,0.7420900949930734,1.6150001952613608,0.5910802822273075,1.4244446953137715,0.7598157051282052,1.3990270327665135,0.7328564025794565,,,1.3730859117409617,0.6882696162657502,,,1.1371835470199585,0.8714285647017616
20,20,1.8406861514546151,0.3865431201550388,1.170331764007043,0.7553892215568863,1.9561145662147308,0.34361520488856934,1.271586804302192,0.7474581931525826,1.5873828037925388,0.6079924675819985,1.3908272568996136,0.7740384615384616,,,1.5318008701909671,0.5999644886363636,,,1.5272463061822155,0.5757385361552028,1.0928927659988403,0.8922857059751238
21,21,1.8038909830326257,0.40671027131782944,1.14872773785791,0.7673652694610779,1.9185508244505554,0.37318026599568654,1.2547056433613315,0.7518738867999208,,,,,,,1.4954842166467146,0.6226325757575757,,,1.5032072206022877,0.586166225749559,1.0596415996551514,0.8962857064179012
22,22,,,,,,,1.2374845823627307,0.756858549376608,1.5348863895388618,0.6451301487414188,,,,,,,,,1.4797015656869879,0.5997354497354497,1.0289772748947144,0.9081428485257285
23,23,,,1.1067174498192565,0.7832709580838324,1.852397404541479,0.4183366283249461,1.2210536273710566,0.7628079853552345,,,1.294698362167065,0.8044871794871795,,,1.4282268218018792,0.6590317234848485,,,1.4565293990745747,0.6121362433862434,0.9873769879341125,0.9229999926260539
24,24,,,,,,,,,,,,,,,1.395374709232287,0.6724668560606061,,,,,0.9621454477310181,0.9251428496837616
25,25,,,1.0679536986493778,0.795808383233533,1.795718445399097,0.4587863946800863,,,,,,,,,,,,,,,0.9179022908210754,0.9342857060262135
26,26,,,,,1.7658245167999624,0.47850017972681524,,,,,1.205576017116889,0.8217147435897436,,,,,,,,,0.8940169215202332,0.9359999929155622
27,27,,,1.0369637344411746,0.8047904191616767,,,,,,,1.1774303011405163,0.8279246794871795,,,1.3037325509569861,0.7131273674242424,1.2017071001308481,0.7841315864833905,,,0.8592001795768738,0.945285706775529
28,28,,,,,1.714462254091958,0.5078855140186916,1.1448522798854148,0.7831424401345736,,,,,,,1.2769842046228321,0.7207623106060607,,,,,0.8256449699401855,0.9492857072183064
29,29,,,,,,,,,,,,,,,1.2529620744965293,0.7289299242424242,,,,,0.8040117621421814,0.9489999922684261
30,30,,,0.9945275647911483,0.8135853293413174,,,1.1158273706406903,0.789660845042549,1.3291145398996878,0.7361627574370709,1.1023130080638788,0.8419471153846154,1.1990042981987228,0.789454744357439,1.226053728976033,0.7378077651515151,1.1452589883017785,0.8016895761741122,,,0.7629863619804382,0.9598571367774691
31,31,1.5236815900303597,0.5817708333333333,,,,,1.1028933729862143,0.7913863051652484,1.3052928352701492,0.7418239893211289,1.081311366879023,0.8449519230769231,1.1843866370395273,0.791700253339475,1.2067196782339702,0.7423650568181818,1.1265419629431261,0.8058777205040091,1.2960883114073012,0.6713514109347443,0.7427011728286743,0.9637142798730305
32,32,1.501302562480749,0.5928536821705426,,,1.624691451264319,0.5558950395398994,1.0923640720683372,0.7915780229566595,1.2827843211699224,0.7504290617848971,1.0623258016048334,0.8463541666666666,1.1705459809588814,0.7935715108245049,1.1901072561740875,0.7459161931818182,1.1073715637639625,0.8121599369988545,1.2777817747580311,0.67961860670194,0.7283743023872375,0.9589999938011169
33,33,,,,,,,,,,,,,,,,,1.0881866413293426,0.8165091638029782,,,0.7026149034500122,0.9587142795324326
34,34,1.459935065618781,0.6135901162790698,0.9568641050133163,0.8150823353293414,,,1.074915556088547,0.7919614585394815,,,,,,,1.1635350696742535,0.7492305871212122,1.0620774445460015,0.82246921534937,,,0.6738885641098022,0.9658571370158877
35,35,1.4407407010710516,0.623219476744186,,,1.5634041021917469,0.5843368080517614,1.0642126257434212,0.7940703542450029,,,,,1.136257476792364,0.7988110317825887,1.1482089192352511,0.7524266098484849,,,,,0.6583426594734192,0.9647142802817481
36,36,1.4212532445441846,0.6301235465116278,0.9367508424256377,0.8177020958083833,,,,,,,,,,,,,,,,,0.6338904500007629,0.9714285662344524
37,37,1.4013514636560929,0.6399588178294574,0.9262089647218853,0.8184505988023952,1.5226868831108664,0.5998157800143782,1.0465595546675606,0.7940703542450029,1.190078818279764,0.7704281083142639,0.9867283151699946,0.8555689102564102,1.1132766954199282,0.8003080377706127,1.1198611784387718,0.7579308712121212,1.0117341759278602,0.8302011741122566,1.1963048060104329,0.720789241622575,0.6127906441688538,0.9715714241777148
38,38,,,0.9188510443636043,0.8180763473053893,,,,,1.172116592310477,0.7772215865751335,,,1.1026104017646012,0.8031149239981576,,,,,,,0.5925844311714172,0.9735714239733559
39,39,,,,,1.488330236662214,0.6129583033788641,,,,,0.9567960814023629,0.8583733974358975,,,1.0917891697450117,0.7637902462121212,0.9815543373835456,0.8366444730813287,,,0.571735680103302,0.9754285669326782
40,40,,,0.9062006009553008,0.8173278443113773,,,,,1.1353812286819236,0.7856002097635393,,,,,,,,,,,0.5623126029968262,0.975857138633728
41,41,,,,,1.4589886236413616,0.6231802659956867,,,1.1157687591469807,0.790355644546148,,,,,,,0.9527210501051441,0.8411547823596792,,,0.5321297645568848,0.9829999966280801
42,42,,,0.8952539042084516,0.8178892215568863,,,,,,,,,1.0650185239529182,0.8070445647167205,,,,,,,0.5208470225334167,0.9779999960320337
43,43,1.3197642117738724,0.6708454457364341,0.8873989728396524,0.8190119760479042,1.4302625277332057,0.631795920201294,1.0004623305578173,0.7977129922818128,1.0815211862757586,0.7978284706331046,0.9001389352174906,0.8635817307692307,1.053668139580481,0.8081673192077384,1.0372184051031417,0.7732007575757577,0.9258448748858934,0.8456650916380297,1.1224307446252733,0.7429453262786596,0.5049690008163452,0.9821428536517279
44,44,,,0.8816657740912751,0.8197604790419162,1.4174583476280498,0.6360307332854063,0.9931188525597742,0.7986715812388681,1.0656504847001338,0.8019045575896263,0.8863627539995389,0.8649839743589743,1.0449515845247372,0.8092900736987564,1.024006248536435,0.7763967803030304,0.9139237947685203,0.8492983963344788,1.1099799177634022,0.7474096119929453,0.48631662130355835,0.9844285683972495
45,45,1.2968261713205382,0.6772044573643411,0.8756910762387121,0.8206961077844311,1.4057153619338418,0.6412877426312006,0.9854347917931211,0.7996301701959232,1.0503593078557996,0.8048483981693364,0.8727240573901397,0.8655849358974359,1.036344086695574,0.8104560110548135,1.0104922012171962,0.7781723484848485,0.9028688085447881,0.8509092210767468,1.0977513181469427,0.7500551146384479,0.47767481207847595,0.9807142817122596
46,46,1.2856659144163132,0.6795663759689923,,,1.3939334805880752,0.6433321351545651,,,,,,,1.0281836779531603,0.8110605711653616,,,0.892223969255526,0.8520367983963345,,,0.4561746120452881,0.9861428540945053
47,47,1.2730457145114278,0.6824733527131783,0.8645152471022691,0.8216317365269461,,,0.9708413957086809,0.8025059370670888,,,0.8489159444967905,0.8685897435897436,1.0190649585809537,0.8116219484108705,0.9868818890642036,0.7808357007575758,0.8809569536410656,0.8539697880870561,1.0745981546936842,0.7548500881834215,0.44827985763549805,0.9871428545883724
48,48,,,0.8568941893691788,0.8223802395209581,1.3699736327768486,0.6519814881380301,0.9618706012064694,0.8048065505640214,1.0111210670160211,0.8098302822273075,0.8369686488921826,0.8699919871794872,,,0.9738305854526433,0.7829663825757577,,,1.0627411244407532,0.7568342151675485,0.43549081683158875,0.9882857120037079
49,49,1.2542496150316194,0.6859253875968992,0.8490481772822535,0.8238772455089821,1.3600127262489818,0.6554861610352264,0.9530621518386654,0.8059568573124877,0.9988140658192013,0.8105096300533944,0.8251183965267279,0.8715945512820513,1.004043065145344,0.8134932058959006,0.9606593925167214,0.7859848484848485,0.8619928654936171,0.8559027777777778,1.0522947503776146,0.7588183421516754,0.4226512312889099,0.9882857120037079
50,50,1.2446044867121897,0.6890140503875969,,,,,,,,,,,,,,,,,1.0421057390788244,0.7619598765432098,0.41167786717414856,0.9898571405240467
51,51,,,,,,,,,,,,,,,,,0.8426213688457135,0.858963344788087,,,0.3930862545967102,0.989142854809761
52,52,1.2237945455451344,0.6957606589147287,0.8309503393972705,0.82687125748503,,,0.9347850106245169,0.8094077775578864,0.9679150473380435,0.8160993516399695,0.7990056837980564,0.874198717948718,0.9817945775157677,0.8166743436204514,,,0.826975710305971,0.8625071592210767,1.018165251565358,0.7680776014109347,0.38415583968162537,0.9919999981778008
53,53,,,,,,,,,,,0.789960442063136,0.875,0.9742298358214829,0.8161129663749425,0.9238040118732236,0.7914299242424242,,,1.0098913983693198,0.7698963844797178,0.37422826886177063,0.9928571415799005
54,54,,,0.8192232722293831,0.827245508982036,1.3058327556213485,0.673481308411215,0.9229546774384434,0.81190010884623,,,0.7797861668543938,0.8762019230769231,,,0.9129947122525085,0.7940932765151515,0.8121903950406104,0.8631514891179839,1.001753926592529,0.7708884479717812,0.3626728951931,0.9921428555250168
55,55,,,,,1.2955993352649369,0.6777161214953271,,,,,,,,,,,,,,,0.35363495349884033,0.9938571417331695
56,56,,,,,1.2796656428096451,0.6831191588785047,0.913907330094671,0.8128586978032852,0.925562791634297,0.8224399313501145,0.7644562812951895,0.8766025641025641,,,,,,,,,0.3438683748245239,0.9945714273623057
57,57,,,0.805401596837415,0.8296781437125749,1.2693680792211373,0.6863317757009346,0.908550531586255,0.8126669800118742,,,,,,,0.8874931125478311,0.7981770833333333,0.7909769956598577,0.8649233963344788,,,0.3327365815639496,0.9948571417161397
58,58,,,0.7986834738068952,0.8308008982035928,1.2603725183789976,0.6882638389647736,0.9021582991067617,0.8136255689689293,,,,,,,0.8784070441668684,0.8001302083333333,0.783906969827475,0.8657288087056129,0.9793933752983336,0.7736992945326279,0.3235485255718231,0.9954285704238074
59,59,1.1625461245692053,0.7157703488372092,0.792170674501065,0.8311751497005988,,,,,0.8983157829961915,0.8263610793287567,,,0.9363812433031504,0.8217267388300322,,,,,,,0.32085832953453064,0.995285713161741
60,60,1.1543726709692976,0.7184956395348837,0.7869802035257488,0.8330464071856287,1.243009710144774,0.6927907081236521,0.8915722340893891,0.8138172867603404,0.889583337566127,0.827266876430206,0.7341926220135812,0.8784054487179487,,,0.8628349551423029,0.803326231060606,,,0.9655169094050372,0.7766865079365078,0.309574693441391,0.9939999986546381
61,61,1.1469838054374206,0.721765988372093,,,,,,,,,,,,,,,,,,,0.29701852798461914,0.996571427839143
62,62,1.1342187385226405,0.7246729651162791,0.7772351092921046,0.8341691616766468,,,,,,,,,,,,,,,,,0.28871482610702515,0.9977142851693289
63,63,,,,,1.216952252889348,0.6999460819554278,0.8775977316809578,0.8138172867603404,,,,,,,0.8413213840262457,0.8075875946969696,,,,,0.28238943219184875,0.9957142847776413
