,epoch,client_0_loss,client_0_acc,client_1_loss,client_1_acc,client_2_loss,client_2_acc,client_3_loss,client_3_acc,client_4_loss,client_4_acc,client_5_loss,client_5_acc,client_6_loss,client_6_acc,client_7_loss,client_7_acc,client_8_loss,client_8_acc,client_9_loss,client_9_acc,meta_loss,meta_acc
0,0,2.661230444908142,0.10380747126436782,1.5370683034697732,0.5722184065934066,2.518210283697468,0.05929628811312418,2.3927287307440066,0.00428921568627451,2.4759618052120866,0.010344827586206896,2.7669041623774264,0.006121134020618557,2.8789662598005306,0.00428921568627451,2.9218254403064123,0.002302631578947368,2.7554089119940093,0.024283008658008656,,,2.535071849822998,0.09457143000194004
1,1,2.5440605275932398,0.11045258620689655,1.5083361569341722,0.6109546703296703,,,,,2.3423276358637315,0.020689655172413793,2.627706415874442,0.01288659793814433,2.7555906725864783,0.007148692810457516,2.778606111124942,0.005098684210526316,2.628835397236275,0.045826569264069264,2.5281444852070143,0.033060782556750296,2.3809919357299805,0.10928571599934782
2,2,,,1.4843480089208583,0.6864697802197802,2.3260218884846937,0.06614560318161733,,,2.2217804431915282,0.06508620689655173,,,,,,,2.515412644003377,0.07665381493506493,,,2.2450287342071533,0.13814285958451883
3,3,,,,,2.2501404856982297,0.07085450729120638,,,,,,,,,2.538582297375328,0.03404605263157895,,,2.2494527716790476,0.20327434289127838,2.1199896335601807,0.20214286213474614
4,4,2.2791761283216805,0.13972701149425287,1.4414218972017476,0.7958447802197802,2.184021347189603,0.07855998674326116,2.0596262976235034,0.10587009803921568,2.0294467991796035,0.2247844827586207,2.283876432585962,0.1956615120274914,2.458746437932931,0.1015180265654649,,,2.3425426934704636,0.14441287878787878,2.14158090917013,0.3160655615292712,2.0191705226898193,0.24900000741439207
5,5,2.212644383139994,0.15211925287356323,1.4228868530346797,0.801510989010989,,,2.00656032445384,0.14324754901960784,1.9534130071771556,0.25969827586206895,2.1950563333698154,0.22320661512027493,2.3805278313705345,0.11460309930423783,2.364523322958695,0.06644736842105263,2.276020538626295,0.17283887987012986,2.0503309849769837,0.382261798088411,1.926259994506836,0.2825714373482125
6,6,,,,,,,1.959690088150548,0.1807107843137255,,,2.114393935990088,0.24624140893470792,,,,,,,,,1.8534170389175415,0.31028572311358793
7,7,2.096672237604514,0.19073275862068967,1.392004009786543,0.8097527472527473,2.030031838645674,0.13785627485638535,1.914156852983961,0.21235294117647058,1.8255280626231227,0.31982758620689655,2.039161503314972,0.2663767182130584,,,2.2336634955908123,0.11085526315789473,,,,,1.7760602235794067,0.35142857965614116
8,8,2.0425927269047706,0.21461925287356323,1.3781293080403254,0.8088942307692307,,,1.8732520225001317,0.2403186274509804,1.770910015599481,0.34698275862068967,1.9706942273169448,0.29053908934707906,2.1731366184022693,0.15219138730761123,2.177212077692935,0.14276315789473684,2.1093812670671577,0.22564935064935066,1.83244728144779,0.47614247311827956,1.7037605047225952,0.4080000068566629
9,9,1.9917626230196022,0.2478448275862069,1.3664865015627263,0.8102678571428571,1.9384967758230967,0.2158017565178966,1.8341269995651992,0.2716544117647059,1.7202656137532202,0.3765086206896552,1.9063750499302579,0.31566795532646047,2.1105413055108264,0.17159498207885304,,,2.0586820353161204,0.23782467532467533,,,1.6402075290679932,0.462285721419113
