,epoch,client_0_loss,client_0_acc,client_1_loss,client_1_acc,client_2_loss,client_2_acc,client_3_loss,client_3_acc,client_4_loss,client_4_acc,client_5_loss,client_5_acc,client_6_loss,client_6_acc,client_7_loss,client_7_acc,client_8_loss,client_8_acc,client_9_loss,client_9_acc,meta_loss,meta_acc
0,0,2.514445757865906,0.1037037037037037,2.6102524995803833,0.08125,2.3117825984954834,0.1875,2.4828224182128906,0.10021551724137931,2.562095256867232,0.0857445987654321,2.5417286477437835,0.08463995354239257,2.542037010192871,0.12160326086956522,2.5843449980020523,0.07825100806451613,2.518114146861163,0.08806818181818182,,,2.534663438796997,0.0948571442919118
1,1,2.3877076625823976,0.1224537037037037,2.4608755111694336,0.09791666666666667,,,,,2.4220764063022755,0.10194830246913579,2.400855951192902,0.10122677119628339,2.399526357650757,0.12941576086956522,2.4439616799354553,0.09973538306451613,2.3811618387699127,0.10227272727272728,2.41790504676672,0.10282699037620298,2.380345344543457,0.10942857313369002
2,2,,,2.330078125,0.14479166666666665,2.184049367904663,0.1875,,,2.2954826200449907,0.13724922839506173,,,,,,,2.2570147893645545,0.1356534090909091,,,2.2437829971313477,0.13857143103012018
3,3,,,,,2.135918617248535,0.1875,,,,,,,,,2.2058813348412514,0.18592489919354838,,,2.1810909262479448,0.19963910761154854,2.11948299407959,0.20271429073597705
4,4,2.093264901638031,0.2591435185185185,2.1375021934509277,0.19375,2.0883564949035645,0.25,2.063116729259491,0.2629310344827586,2.0922684973036803,0.24269386574074073,2.0718669048169764,0.24551756678281067,2.0595217049121857,0.28091032608695654,,,2.0591874474828895,0.24573863636363635,2.0880813001021936,0.24302821522309712,2.0186667442321777,0.2494285788493497
5,5,2.0208396196365355,0.2966435185185185,2.058509588241577,0.21041666666666667,,,1.983935296535492,0.2629310344827586,2.010190420128681,0.2743055555555556,1.9925267507390279,0.27429950638792105,1.974078357219696,0.29959239130434784,2.0284013003110886,0.2581905241935484,1.9777730161493474,0.27769886363636365,2.0066150019070816,0.2737860892388451,1.9256776571273804,0.28214286593454224
6,6,,,,,,,1.912777304649353,0.2941810344827586,,,1.920917058863291,0.3030814459930314,,,,,,,,,1.852851390838623,0.3081428659494434
7,7,1.8967920303344727,0.3384259259259259,1.9191187024116516,0.2572916666666667,1.9506957530975342,0.3125,1.8478866219520569,0.3787715517241379,1.8671548584545101,0.3367332175925926,1.8543671834759596,0.33776132404181186,,,1.8841781690716743,0.3247227822580645,,,,,1.7752678394317627,0.34814286552369594
8,8,1.839130687713623,0.3540509259259259,1.857532560825348,0.32291666666666663,,,1.7878594398498535,0.44773706896551724,1.8025803866761703,0.3723958333333333,1.7918589013378794,0.3777765679442509,1.7653769850730896,0.38552989130434784,1.8213344737887383,0.3618321572580645,1.779249445958571,0.3835227272727273,1.8005314865137336,0.3729604111986002,1.70290207862854,0.4045714354408639
9,9,1.7841721296310424,0.3853009259259259,1.8012221455574036,0.33854166666666663,1.8615936040878296,0.4375,1.730940580368042,0.49622844827586204,1.7417413313631658,0.4113377700617284,1.732849030959897,0.41436193379790937,1.7042205035686493,0.41202445652173914,,,1.7216783572327008,0.42826704545454547,,,1.6390082836151123,0.46057143593473093
10,10,1.7310445189476014,0.4140046296296296,,,,,1.6762504577636719,0.5134698275862069,1.684497671270812,0.45177469135802467,1.67744708642727,0.4539960801393728,1.6485088467597961,0.45889945652173914,1.707132339477539,0.4400831653225806,,,1.6837391986830237,0.4532097550306211,1.5810385942459106,0.5195714353024959
11,11,1.6795136094093324,0.4458333333333333,1.6908634305000305,0.5645833333333333,1.7783925533294678,0.375,,,,,,,,,,,1.6153861365535043,0.5262784090909091,1.6306984197227765,0.494012467191601,1.521357774734497,0.5855714348597186
12,12,1.6301475286483764,0.49756944444444445,1.6360831260681152,0.5645833333333333,1.7372519969940186,0.375,1.5735272765159607,0.6104525862068966,,,1.5766526373421275,0.5327018002322881,1.5499370694160461,0.5679347826086957,1.6062821000814438,0.5165070564516129,1.5668490312316201,0.5688920454545454,1.5808631333987753,0.5354057305336833,1.4587292671203613,0.6392857192243848
13,13,,,,,,,,,,,,,,,,,1.5213336511091753,0.5965909090909091,,,1.4209864139556885,0.6801428601571492
14,14,,,1.5369319915771484,0.6614583333333333,1.6661659479141235,0.5,,,1.487531499730216,0.6127266589506173,1.4859682030794097,0.6030233739837398,1.4598605334758759,0.6239809782608696,1.5153448656201363,0.583039314516129,1.4778484458273107,0.6321022727272727,,,1.3623485565185547,0.7305714293037142
15,15,,,1.4923063516616821,0.69375,,,,,1.4442351176230996,0.6433979552469137,,,1.4158895015716553,0.6582880434782609,,,1.4361019324172626,0.6612215909090909,,,1.322453498840332,0.7619999989441463
16,16,,,,,1.5971673727035522,0.5,,,1.4024590529777385,0.67406925154321,1.4022884179906148,0.6626742160278746,1.3722426295280457,0.6956521739130435,,,1.3959568034518848,0.6867897727272727,,,1.2693965435028076,0.8018571395959173
